timestamp,sensor_index,humidity,temperature,pressure,pm2_5,humidity_error,temperature_error,pressure_error
2022-11-20,5582,37.181,30.491,988.077,2.5755,,,
2023-01-18,5582,48.828,43.281,982.975,6.6165,,,
2023-03-06,5582,53.327,43.935,986.391,2.1025,,,
2022-12-21,5582,34.618,10.203,998.856,5.991,,,
2022-12-09,5582,46.751,39.225,991.17,22.139,,,
2022-10-19,5582,30.654,45.502,988.427,1.3475000000000001,,,
2022-09-01,5582,46.13,85.239,981.566,5.8420000000000005,,,
2022-12-25,5582,32.953,12.057,989.336,1.641,,,
2022-12-11,5582,47.595,45.653,990.71,19.4755,,,
2023-01-07,5582,36.926,21.771,996.797,40.979,,,
2022-11-09,5582,57.066,62.052,984.343,14.244,,,
2022-10-25,5582,42.032,54.129,975.589,1.8575,,,
2023-01-09,5582,42.193,31.129,983.368,44.462,,,
2022-11-29,5582,46.72,39.951,973.742,5.585,,,
2022-09-03,5582,39.349,77.333,988.656,1.7784999999999997,,,
2023-02-26,5582,33.75,32.548,981.879,12.781500000000001,,,
2022-12-14,5582,55.308,44.498,973.541,5.804,,,
2022-09-23,5582,46.159,63.593,987.325,1.4329999999999998,,,
2023-01-16,5582,51.276,45.937,969.449,13.487,,,
2022-09-15,5582,41.592,81.767,984.015,8.172,,,
2023-03-27,5582,29.446,43.018,990.604,4.9365,,,
2022-09-04,5582,41.158,73.559,990.89,0.8215,,,
2023-01-21,5582,48.782,33.422,988.357,7.3115000000000006,,,
2022-09-18,5582,51.963,77.99,979.555,8.09,,,
2022-11-22,5582,40.797,39.156,989.095,22.786,,,
2022-10-12,5582,44.118,65.531,971.095,6.4085,,,
2022-10-17,5582,32.558,43.705,989.75,0.0315,,,
2022-11-02,5582,33.161,71.094,982.595,6.0415,,,
2023-03-18,5582,38.413,23.095,987.17,1.1360000000000001,,,
2023-01-11,5582,48.137,42.425,978.452,63.192,,,
2022-11-07,5582,33.851,43.65,997.27,2.232,,,
2023-03-13,5582,41.808,35.616,991.073,1.7670000000000001,,,
2022-12-02,5582,40.904,42.773,972.942,3.8055,,,
2022-12-17,5582,48.656,31.208,973.546,2.4705000000000004,,,
2023-03-05,5582,41.098,40.188,988.184,21.363500000000002,,,
2022-11-12,5582,40.577,37.715,988.878,0.106,,,
2023-01-28,5582,35.603,18.297,989.383,1.0505,,,
